Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1529,1-STORY 1946+,RL,81,7635,1,Corner,0,NAmes,1Fam,1Story,5,6,1960,1960,CompShg,None,3,3,CBlock,3,3,0,3,588,3,350,237,1175,GasA,5,1,5,1175,0,0,1175,0,0,1,3,1,3,6,0,0,0,Detchd,1960,2,2,484,3,3,2,0,0,0,0,0,0,0,0,,0,June,2010,WD,Normal,148419.3964
1530,1-STORY 1946+,RL,80,9760,0,Inside,1,NAmes,1Fam,1Story,6,7,1963,1984,CompShg,BrkFace,3,3,CBlock,3,3,3,4,717,3,263,415,1395,GasA,3,1,5,1395,0,0,1395,1,0,1,2,1,3,7,1,1,3,Attchd,1963,2,2,440,3,3,2,657,0,113,0,240,0,0,0,,0,May,2010,WD,Normal,178071.3436
1531,1-1/2 STORY FIN,RM,60,4800,0,Corner,0,OldTown,1Fam,1.5Fin,4,5,1900,1954,CompShg,BrkFace,3,3,PConc,3,3,0,5,48,1,0,661,709,GasA,3,1,5,1157,687,0,1844,1,0,1,3,1,3,9,2,2,4,Basment,1900,1,1,240,3,3,2,84,0,0,0,0,0,0,0,,0,Jan,2010,COD,Abnorml,100667.2272
1532,1-STORY 1945-,RM,56,4485,0,Inside,0,OldTown,1Fam,1Story,5,7,1920,1950,CompShg,None,3,3,PConc,3,3,0,4,579,1,0,357,936,GasA,3,1,5,936,0,0,936,1,0,1,2,1,3,5,0,1,4,,1920,0,0,0,0,0,1,51,0,135,0,0,0,0,3,,0,May,2010,WD,Normal,100326.792
1533,1-STORY 1946+,RM,69,5805,0,Inside,1,OldTown,1Fam,1Story,5,7,1957,1957,CompShg,None,3,3,CBlock,3,3,1,4,274,3,1073,0,1347,GasA,4,1,5,1347,0,0,1347,1,1,1,3,1,4,6,0,0,0,Detchd,1957,1,2,551,3,3,2,0,0,0,0,0,0,0,0,,0,June,2010,WD,Normal,142399.1838
1534,1-1/2 STORY UNF,RM,50,6900,0,Corner,0,OldTown,1Fam,1.5Fin,6,7,1938,2000,CompShg,None,3,3,PConc,4,3,0,1,0,1,0,827,827,GasA,4,1,5,827,424,0,1251,0,0,1,3,1,2,6,0,0,0,Detchd,1938,1,1,240,2,3,0,0,0,0,0,0,0,0,0,,0,Jan,2010,WD,Normal,120297.9064
1535,1-1/2 STORY FIN,RM,69,11851,0,Inside,0,OldTown,1Fam,1.5Fin,5,7,1948,2009,CompShg,None,3,4,BrkTil,3,3,0,4,780,1,0,247,1027,GasA,5,1,5,1027,606,0,1633,0,0,1,3,1,4,7,0,1,4,Detchd,1948,1,1,240,3,3,2,0,100,126,0,0,0,0,0,,0,June,2010,WD,Normal,155367.6103
1536,1-1/2 STORY FIN,RM,,8239,0,Inside,0,OldTown,1Fam,1.5Fin,5,6,1920,1962,CompShg,None,3,3,BrkTil,3,3,0,3,176,1,0,832,1008,GasA,3,1,5,1060,185,0,1245,0,0,1,3,1,3,6,0,0,0,Detchd,1962,1,1,315,3,3,2,0,0,334,0,0,0,0,0,,0,Mar,2010,WD,Normal,113060.0763
1537,1-STORY 1945-,RM,68,9656,0,Inside,0,OldTown,1Fam,1Story,2,2,1923,1970,CompShg,None,3,2,BrkTil,2,2,0,1,0,1,0,678,678,GasA,3,0,5,832,0,0,832,0,0,1,2,1,3,5,0,1,4,Detchd,1928,1,2,780,2,2,0,0,0,0,0,0,0,0,0,,0,June,2010,WD,Abnorml,68227.9669
1538,2-STORY 1945-,RM,60,9600,0,Corner,0,OldTown,1Fam,2Story,8,9,1900,2003,CompShg,None,4,4,BrkTil,3,3,0,1,0,1,0,930,930,GasW,3,0,5,930,636,0,1566,0,0,2,3,1,4,7,0,0,0,Detchd,1930,1,1,288,3,3,2,54,228,246,0,0,0,0,0,,0,Apr,2010,WD,Abnorml,171456.124
1539,2-STORY 1945-,RM,50,9000,0,Inside,0,OldTown,1Fam,2Story,8,9,1890,2002,CompShg,None,4,4,Stone,2,2,0,1,0,1,0,346,346,GasA,5,1,5,1157,1111,0,2268,0,0,3,3,1,4,7,0,0,0,Detchd,2003,1,2,624,3,3,0,0,108,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,213020.227
1540,2 FAMILY CONVERSION,RM,100,9045,0,Inside,0,OldTown,2fmCon,2Story,5,3,1910,1950,CompShg,None,3,2,BrkTil,3,3,1,1,0,1,0,840,840,Grav,2,0,3,1128,1128,0,2256,0,0,2,4,2,2,12,0,0,0,,1910,0,0,0,0,0,0,0,18,18,0,0,0,0,0,,0,June,2010,WD,Abnorml,89953.60837
1541,2-STORY 1945-,RM,60,10560,0,Inside,0,OldTown,1Fam,2Story,6,7,1922,1994,CompShg,None,3,3,CBlock,2,3,0,3,283,1,0,455,738,GasA,5,1,5,868,602,0,1470,0,0,1,2,1,3,6,1,0,0,Detchd,1970,1,2,624,3,3,2,0,0,0,0,0,0,0,0,,0,June,2010,WD,Normal,145742.545
1542,1-1/2 STORY FIN,RM,53,5830,0,Corner,0,BrkSide,1Fam,1.5Fin,5,6,1950,1997,CompShg,None,3,4,CBlock,3,3,0,3,788,1,0,200,988,GasA,5,1,5,1030,582,0,1612,0,0,1,3,1,3,7,0,0,0,Detchd,1950,1,1,363,3,3,2,0,0,0,0,0,0,0,3,,0,Mar,2010,WD,Normal,136701.2598
1543,2-1/2 STORY,RL,,7793,1,Corner,0,BrkSide,1Fam,2.5Unf,7,7,1922,2005,CompShg,None,3,3,BrkTil,4,3,0,4,474,1,0,634,1108,GasA,3,0,4,1160,908,0,2068,0,0,1,3,1,4,8,0,1,4,Detchd,1928,1,1,315,3,3,2,0,0,60,0,0,0,0,0,,0,May,2010,WD,Normal,221460.4881
1544,1-STORY 1945-,RM,50,5000,0,Inside,0,BrkSide,1Fam,1Story,4,7,1925,1950,CompShg,None,3,3,BrkTil,3,3,0,3,188,1,0,577,765,GasA,3,0,3,765,0,0,765,1,0,1,2,1,4,4,0,0,0,Detchd,1926,1,1,200,2,3,1,135,0,41,0,0,0,0,3,,0,Apr,2010,WD,Normal,84036.77301
1545,1-1/2 STORY FIN,RM,50,6000,0,Inside,0,BrkSide,1Fam,1.5Fin,6,7,1939,1950,CompShg,None,3,3,BrkTil,3,4,0,4,452,3,12,144,608,GasA,3,1,5,608,524,0,1132,1,0,1,2,1,3,5,0,0,0,Detchd,1939,1,1,240,3,3,2,0,0,128,0,0,0,0,3,,0,Apr,2010,WD,Abnorml,99882.83894
1546,1-1/2 STORY FIN,RM,50,6000,0,Inside,0,BrkSide,1Fam,1.5Fin,6,6,1940,1950,CompShg,None,3,4,CBlock,3,3,0,2,264,1,0,308,572,GasA,5,1,4,848,348,0,1196,0,1,1,3,1,3,6,0,2,4,Detchd,1973,1,2,576,3,3,2,0,0,0,0,0,0,0,0,,0,Mar,2010,WD,Normal,121330.6203
1547,1-1/2 STORY FIN,RM,53,6360,0,Corner,0,BrkSide,1Fam,1.5Fin,5,6,1942,1950,CompShg,Stone,3,3,CBlock,3,3,0,3,360,3,159,316,835,GasA,3,1,4,955,498,0,1453,0,0,1,3,1,4,7,2,2,2,Detchd,1942,1,1,240,3,3,2,0,0,35,0,148,0,0,0,,0,Mar,2010,WD,Normal,135105.881
1548,1-1/2 STORY FIN,RM,50,6000,0,Inside,0,BrkSide,1Fam,1.5Fin,6,7,1948,1950,CompShg,None,3,3,CBlock,3,3,0,3,300,1,0,480,780,GasA,3,1,5,780,636,0,1416,0,0,1,3,1,3,6,0,0,0,Detchd,1948,1,1,312,3,3,1,221,0,48,0,0,0,0,0,,0,Mar,2010,WD,Normal,127969.4917
1549,1-1/2 STORY FIN,RM,52,6240,0,Inside,0,BrkSide,1Fam,1.5Fin,5,7,1936,1980,CompShg,None,3,3,CBlock,3,2,0,3,276,1,0,252,528,GasA,4,1,5,548,492,0,1040,0,0,1,2,1,3,5,0,0,0,Detchd,1979,3,2,624,3,3,1,306,0,32,0,0,0,0,0,,0,May,2010,WD,Normal,109195.3263
1550,1-1/2 STORY FIN,RM,52,6240,0,Inside,0,BrkSide,1Fam,1.5Fin,5,5,1930,1950,CompShg,None,3,3,BrkTil,3,3,0,2,448,1,0,480,928,GasA,3,1,3,928,608,0,1536,0,0,2,4,1,3,7,0,1,4,Detchd,1930,1,2,480,3,3,2,0,10,0,0,0,0,0,3,,0,Mar,2010,WD,Normal,138416.7597
1551,1-STORY 1945-,RM,51,6120,0,Inside,0,OldTown,1Fam,1Story,6,5,1923,1950,CompShg,None,3,3,BrkTil,2,2,0,5,960,1,0,164,1124,GasA,3,1,5,1068,0,0,1068,1,0,1,2,1,3,5,0,1,4,Detchd,1923,1,1,288,3,3,2,0,0,128,0,0,0,0,0,,0,Mar,2010,WD,Normal,112456.2216
1552,1-1/2 STORY FIN,RM,57,8094,0,Inside,0,OldTown,1Fam,1.5Fin,4,5,1915,1950,CompShg,None,3,2,CBlock,3,3,0,1,0,1,0,888,888,GasA,5,1,5,888,1074,0,1962,0,0,1,4,1,3,9,0,1,3,Detchd,1915,1,2,572,3,3,2,160,0,364,0,0,0,0,4,,0,June,2010,WD,Normal,122622.5501
1553,2-STORY 1945-,RM,60,12900,0,Inside,0,OldTown,1Fam,2Story,6,8,1912,2009,CompShg,None,4,4,PConc,3,3,0,1,0,1,0,780,780,GasA,5,1,5,780,780,0,1560,0,0,1,3,1,4,7,0,0,0,,1912,0,0,0,0,0,0,344,0,0,0,168,0,0,0,,0,May,2010,WD,Normal,156539.9723
1554,2-STORY 1945-,RM,52,3068,0,Inside,0,OldTown,1Fam,2Story,6,8,1920,1993,CompShg,None,3,4,BrkTil,3,3,0,1,0,1,0,662,662,GasA,5,1,5,662,662,0,1324,0,1,1,3,1,3,6,0,0,0,Detchd,1920,1,1,180,3,3,2,0,0,112,0,0,0,0,4,,0,Feb,2010,WD,Normal,112853.7228
1555,1-STORY 1946+,RL,100,15263,1,Inside,0,ClearCr,1Fam,1Story,5,5,1959,1959,CompShg,BrkFace,3,3,CBlock,4,3,0,3,766,1,0,656,1422,GasA,4,1,5,1675,0,0,1675,0,0,2,3,1,3,8,0,2,4,Attchd,1959,1,1,365,3,3,2,0,132,0,0,0,0,0,0,,0,May,2010,WD,Normal,164558.9788
1556,1-1/2 STORY FIN,RL,72,10632,1,Inside,0,ClearCr,1Fam,1.5Fin,5,3,1917,1950,CompShg,None,3,3,BrkTil,4,2,0,1,0,1,0,689,689,GasA,4,0,5,725,499,0,1224,0,0,1,3,1,0,6,3,0,0,Detchd,1917,1,1,180,2,2,0,0,0,248,0,0,0,0,0,,0,Jan,2010,COD,Normal,84708.55193
1557,2 FAMILY CONVERSION,RL,60,9900,0,Inside,0,SWISU,2fmCon,1.5Fin,5,4,1915,1950,CompShg,None,2,2,BrkTil,3,3,0,3,1026,1,0,186,1212,GasA,3,0,5,1212,180,0,1392,1,0,1,3,1,3,6,0,0,0,,1915,0,0,0,0,0,0,0,0,168,0,0,0,0,0,,0,Feb,2010,ConLD,Normal,105779.1566
1558,1-1/2 STORY FIN,RL,65,6001,1,Inside,1,SWISU,1Fam,1.5Fin,6,5,1940,1950,CompShg,None,3,3,CBlock,2,3,0,2,368,1,0,232,600,GasA,5,0,5,600,319,0,919,0,0,1,3,1,3,5,0,0,0,Detchd,1940,1,1,231,3,3,2,0,0,45,0,0,0,0,3,,0,Mar,2010,WD,Normal,89536.52243
1559,2-STORY 1945-,C,,6449,1,Inside,0,SWISU,1Fam,2Story,4,1,1907,1950,CompShg,None,3,3,CBlock,3,3,0,3,73,1,0,634,707,GasW,3,0,5,942,942,0,1884,0,0,1,4,1,3,7,0,0,0,,1907,0,0,0,0,0,0,0,0,239,0,0,0,0,0,,0,Mar,2010,WD,Abnorml,71484.70927
1560,2 FAMILY CONVERSION,RH,60,6048,0,Corner,0,SWISU,2fmCon,1.5Fin,5,7,1910,1950,CompShg,None,3,4,BrkTil,3,3,1,2,736,1,0,120,856,GasA,4,1,5,936,744,0,1680,1,0,2,2,2,3,7,0,1,4,Detchd,1910,1,2,450,3,2,1,56,144,0,0,0,0,0,0,,0,June,2010,COD,Normal,135536.5427
